date,name,code,open,high,low,close,volume,turnover,turnover_rate
2022-01-04,中国平安,601318,47.98,48.64,47.68,48.58,635838,3221366640.0,0.59
2022-01-05,中国平安,601318,48.69,49.98,48.55,49.65,1181247,6124173568.0,1.09
2022-01-06,中国平安,601318,49.57,49.6,48.8,48.88,661658,3408947584.0,0.61
2022-01-07,中国平安,601318,49.07,50.91,49.03,50.52,1230760,6481039360.0,1.14
2022-01-10,中国平安,601318,50.57,51.14,50.08,50.66,761134,4033301408.0,0.7
2022-01-11,中国平安,601318,50.75,51.32,50.12,50.44,680920,3612879168.0,0.63
2022-01-12,中国平安,601318,50.18,50.39,49.44,50.08,572923,2998981424.0,0.53
2022-01-13,中国平安,601318,50.13,51.26,49.88,49.88,728663,3862897680.0,0.67
2022-01-14,中国平安,601318,49.93,50.08,48.64,48.68,779397,4014279664.0,0.72
2022-01-17,中国平安,601318,48.69,49.01,48.33,48.52,460567,2348769408.0,0.43
2022-01-18,中国平安,601318,48.52,49.17,48.18,48.81,636980,3252038704.0,0.59
2022-01-19,中国平安,601318,48.88,49.42,48.69,49.03,483316,2488231280.0,0.45
2022-01-20,中国平安,601318,49.08,51.1,49.03,50.98,1448359,7661793536.0,1.34
2022-01-21,中国平安,601318,51.08,51.38,50.58,51.13,1041895,5564930560.0,0.96
2022-01-24,中国平安,601318,51.11,51.11,50.11,50.71,542641,2873364832.0,0.5
2022-01-25,中国平安,601318,50.18,50.48,48.68,48.78,776662,4032087600.0,0.72
2022-01-26,中国平安,601318,49.26,49.77,48.8,49.41,483275,2502203696.0,0.45
2022-01-27,中国平安,601318,49.08,49.08,48.35,48.37,586502,2992952672.0,0.54
2022-01-28,中国平安,601318,48.6,48.93,47.38,47.55,729355,3688023392.0,0.67
2022-02-07,中国平安,601318,48.92,50.05,48.28,49.56,940417,4858781696.0,0.87
2022-02-08,中国平安,601318,49.34,50.61,49.3,50.58,866116,4567112448.0,0.8
2022-02-09,中国平安,601318,50.82,51.58,50.46,50.62,880435,4695366144.0,0.81
2022-02-10,中国平安,601318,50.76,51.76,50.38,51.76,962787,5186085888.0,0.89
2022-02-11,中国平安,601318,51.93,53.81,51.66,53.17,1583777,8759710976.0,1.46
2022-02-14,中国平安,601318,52.59,52.88,51.26,51.48,944654,5121073152.0,0.87
2022-02-15,中国平安,601318,51.13,51.48,50.49,50.86,635406,3385015072.0,0.59
2022-02-16,中国平安,601318,51.08,51.76,50.86,51.42,523210,2818960512.0,0.48
2022-02-17,中国平安,601318,51.68,52.21,50.94,51.23,504904,2723626784.0,0.47
2022-02-18,中国平安,601318,51.18,52.18,51.02,52.08,484226,2621179792.0,0.45
2022-02-21,中国平安,601318,51.68,51.83,51.09,51.74,387928,2089115312.0,0.36
2022-02-22,中国平安,601318,51.1,51.18,50.29,50.65,577499,3064280608.0,0.53
2022-02-23,中国平安,601318,50.68,50.88,50.27,50.47,463602,2449763792.0,0.43
2022-02-24,中国平安,601318,49.73,49.83,48.67,49.04,975396,5039207424.0,0.9
2022-02-25,中国平安,601318,49.28,49.64,48.79,48.98,544416,2808109120.0,0.5
2022-02-28,中国平安,601318,48.68,48.68,47.83,48.34,731883,3707888592.0,0.68
2022-03-01,中国平安,601318,48.59,48.98,48.15,48.97,568036,2895181120.0,0.52
2022-03-02,中国平安,601318,48.48,48.81,48.28,48.34,436923,2222138928.0,0.4
2022-03-03,中国平安,601318,48.38,48.77,48.28,48.5,352676,1795901328.0,0.33
2022-03-04,中国平安,601318,48.05,48.06,47.54,47.68,700865,3510136272.0,0.65
2022-03-07,中国平安,601318,47.2,47.2,46.24,46.46,784597,3847577920.0,0.72
2022-03-08,中国平安,601318,46.3,46.64,44.88,45.05,834403,4021028000.0,0.77
2022-03-09,中国平安,601318,45.19,45.51,43.08,44.5,825545,3878723584.0,0.76
2022-03-10,中国平安,601318,45.53,45.62,44.44,44.49,587753,2783372912.0,0.54
2022-03-11,中国平安,601318,43.58,44.98,43.28,44.72,667078,3085709552.0,0.62
2022-03-14,中国平安,601318,43.58,44.15,43.35,43.39,592578,2734567248.0,0.55
2022-03-15,中国平安,601318,42.63,42.78,40.13,40.23,1269379,5571772416.0,1.17
2022-03-16,中国平安,601318,40.87,42.23,39.91,41.87,1009694,4391918336.0,0.93
2022-03-17,中国平安,601318,43.08,43.78,42.33,43.08,1095722,4982734592.0,1.01
2022-03-18,中国平安,601318,42.63,45.96,42.5,45.51,1552323,7308943872.0,1.43
2022-03-21,中国平安,601318,45.35,45.35,44.21,44.62,949519,4472952832.0,0.88
2022-03-22,中国平安,601318,44.08,45.44,44.03,45.38,742112,3516558048.0,0.69
2022-03-23,中国平安,601318,45.14,45.74,44.73,45.48,577029,2748027968.0,0.53
2022-03-24,中国平安,601318,45.11,46.3,44.98,45.83,610757,2943276288.0,0.56
2022-03-25,中国平安,601318,45.59,46.37,45.16,45.21,559938,2696644336.0,0.52
2022-03-28,中国平安,601318,44.98,45.7,44.51,45.43,393686,1872940912.0,0.36
2022-03-29,中国平安,601318,45.53,45.78,44.73,44.79,322357,1532063824.0,0.3
2022-03-30,中国平安,601318,45.13,46.41,45.03,46.28,575427,2776948848.0,0.53
2022-03-31,中国平安,601318,45.98,46.83,45.88,46.03,423498,2063589520.0,0.39
2022-04-01,中国平安,601318,45.88,46.69,45.69,46.54,473677,2307234640.0,0.44
2022-04-06,中国平安,601318,46.63,47.5,46.58,47.12,640053,3166678384.0,0.59
2022-04-07,中国平安,601318,46.78,47.1,45.87,46.06,501130,2447803104.0,0.46
2022-04-08,中国平安,601318,45.93,46.83,45.93,46.82,434732,2124961296.0,0.4
2022-04-11,中国平安,601318,46.49,46.56,45.1,45.2,506405,2433396192.0,0.47
2022-04-12,中国平安,601318,45.44,46.46,45.06,46.05,467396,2251825856.0,0.43
2022-04-13,中国平安,601318,45.83,45.96,45.26,45.4,317751,1524357808.0,0.29
2022-04-14,中国平安,601318,45.95,46.1,45.48,45.77,358849,1731655008.0,0.33
2022-04-15,中国平安,601318,45.58,46.32,45.48,45.88,314115,1520937856.0,0.29
2022-04-18,中国平安,601318,45.57,45.57,44.41,44.58,405375,1912485744.0,0.37
2022-04-19,中国平安,601318,44.63,44.85,43.71,44.02,369543,1723558432.0,0.34
2022-04-20,中国平安,601318,44.23,44.37,43.41,43.49,380610,1755500128.0,0.35
2022-04-21,中国平安,601318,43.46,44.76,43.39,43.8,549044,2554919424.0,0.51
2022-04-22,中国平安,601318,43.59,44.55,43.49,44.04,397326,1851934816.0,0.37
2022-04-25,中国平安,601318,42.58,43.76,42.28,42.43,673920,3063041728.0,0.62
2022-04-26,中国平安,601318,42.42,42.76,41.09,41.17,638924,2826379504.0,0.59
2022-04-27,中国平安,601318,40.99,41.78,40.76,41.49,531084,2325674736.0,0.49
